S_d, S_n, Mask Mean FA, AUC, Theta 1 Mask Mean, Theta 1 Mask Std, Phi 1 Mask Mean, Phi 1 Mask Std, Theta 2 Mask Mean, Theta 2 Mask Std, Phi 2 Mask Mean, Phi 2 Mask Std, npeaks, Mask Fraction
2.500000, 10.000000, 0.270206, 0.698046, 1.5401606559753418, 0.6335725784301758, 4.2610373497009277, 1.9662874937057495,0.2819904685020447, 0.1110852807760239, 1.3513295650482178, 1.3718718290328979,4.00, 0.1515866229508197
2.500000, 10.833333, 0.252762, 0.669256, 1.4925137758255005, 0.6614448428153992, 4.1608672142028809, 1.9724090099334717,0.3047596216201782, 0.1090711727738380, 1.2699494361877441, 1.2634674310684204,4.00, 0.1515866229508197
2.500000, 11.666667, 0.237794, 0.640367, 1.4222730398178101, 0.6894074082374573, 4.0430374145507812, 1.9724030494689941,0.3272879719734192, 0.1075267419219017, 1.2039345502853394, 1.1632453203201294,4.00, 0.1515866229508197
2.500000, 12.500000, 0.224980, 0.612380, 1.3361110687255859, 0.7107278704643250, 3.8817799091339111, 1.9873677492141724,0.3492945730686188, 0.1073175817728043, 1.1557435989379883, 1.0861520767211914,4.00, 0.1515866229508197
2.500000, 13.333333, 0.214005, 0.585856, 1.2410706281661987, 0.7184349894523621, 3.6813971996307373, 2.0025510787963867,0.3708458840847015, 0.1108062639832497, 1.1074576377868652, 1.0057644844055176,4.00, 0.1515866229508197
2.500000, 14.166667, 0.204600, 0.561127, 1.1492694616317749, 0.7124414443969727, 3.4405441284179688, 2.0322690010070801,0.3917550146579742, 0.1151351109147072, 1.0560137033462524, 0.9105424284934998,2.00, 0.1515866229508197
2.500000, 15.000000, 0.196553, 0.538415, 1.0693048238754272, 0.7000073790550232, 3.1885116100311279, 2.0641059875488281,0.4129573106765747, 0.1280827969312668, 1.0112668275833130, 0.8179163336753845,1.00, 0.1515866229508197
2.500000, 15.833333, 0.189663, 0.517790, 1.0136635303497314, 0.6918588876724243, 2.9274384975433350, 2.0964975357055664,0.4339623749256134, 0.1432572901248932, 0.9787528514862061, 0.7377765178680420,1.00, 0.1515866229508197
2.500000, 16.666667, 0.183762, 0.499274, 0.9738096594810486, 0.6834445595741272, 2.6906588077545166, 2.1186900138854980,0.4543220698833466, 0.1589938104152679, 0.9802216291427612, 0.7452178001403809,1.00, 0.1515866229508197
3.333333, 0.833333, 0.772282, 0.502691, 1.3764270544052124, 0.7358338832855225, 2.8038377761840820, 2.1854968070983887,0.9243425130844116, 0.7807194590568542, 3.0792710781097412, 1.9367763996124268,3.00, 0.1515866229508197
3.333333, 1.666667, 0.717343, 0.629114, 1.4311233758926392, 0.7251283526420593, 2.9611577987670898, 2.2670249938964844,0.4430297017097473, 0.6224911212921143, 3.0763211250305176, 1.8998845815658569,4.00, 0.1515866229508197
3.333333, 2.500000, 0.687299, 0.742546, 1.4952619075775146, 0.6757430434226990, 3.1597135066986084, 2.2640373706817627,0.3071134686470032, 0.5332981348037720, 2.9709813594818115, 1.9154682159423828,4.00, 0.1515866229508197
3.333333, 3.333333, 0.636657, 0.808104, 1.4950625896453857, 0.6467121839523315, 3.3047189712524414, 2.1970081329345703,0.2210392355918884, 0.4042604863643646, 2.8577902317047119, 1.9391160011291504,5.00, 0.1515866229508197
3.333333, 4.166667, 0.578682, 0.834533, 1.4899820089340210, 0.6291817426681519, 3.4035642147064209, 2.1525111198425293,0.1692122071981430, 0.2739837467670441, 2.7318139076232910, 1.9740604162216187,6.00, 0.1515866229508197
3.333333, 5.000000, 0.523812, 0.844158, 1.4943382740020752, 0.6146336197853088, 3.5202317237854004, 2.1183254718780518,0.1537547558546066, 0.2023411542177200, 2.4990663528442383, 1.9763765335083008,7.00, 0.1515866229508197
3.333333, 5.833333, 0.475336, 0.844956, 1.5100749731063843, 0.6052921414375305, 3.6470584869384766, 2.0987842082977295,0.1529179215431213, 0.1499300450086594, 2.2671294212341309, 1.9267747402191162,7.00, 0.1515866229508197
3.333333, 6.666667, 0.433216, 0.839223, 1.5207751989364624, 0.6012490391731262, 3.7590298652648926, 2.0725431442260742,0.1605004072189331, 0.1169609278440475, 2.0571696758270264, 1.8496893644332886,5.00, 0.1515866229508197
3.333333, 7.500000, 0.396608, 0.828002, 1.5238813161849976, 0.6013580560684204, 3.8866724967956543, 2.0312807559967041,0.1733464747667313, 0.1041700541973114, 1.8789134025573730, 1.7565271854400635,4.00, 0.1515866229508197
3.333333, 8.333333, 0.364612, 0.812097, 1.5265164375305176, 0.6064651012420654, 4.0005917549133301, 1.9853566884994507,0.1894522160291672, 0.1008291989564896, 1.7471059560775757, 1.6726319789886475,4.00, 0.1515866229508197
3.333333, 9.166667, 0.336551, 0.792384, 1.5273910760879517, 0.6166692972183228, 4.0868396759033203, 1.9405431747436523,0.2072333544492722, 0.1009441986680031, 1.6428318023681641, 1.5870841741561890,4.00, 0.1515866229508197
3.333333, 10.000000, 0.311970, 0.769813, 1.5292245149612427, 0.6322296261787415, 4.1940069198608398, 1.8774545192718506,0.2256463021039963, 0.1012044176459312, 1.5674698352813721, 1.5121717453002930,5.00, 0.1515866229508197
3.333333, 10.833333, 0.290460, 0.745259, 1.5204390287399292, 0.6520001888275146, 4.2471022605895996, 1.8207316398620605,0.2444200366735458, 0.1019695624709129, 1.5043716430664062, 1.4416226148605347,4.00, 0.1515866229508197
3.333333, 11.666667, 0.271658, 0.719436, 1.4855471849441528, 0.6733400821685791, 4.2054967880249023, 1.7761006355285645,0.2633333802223206, 0.1037077680230141, 1.4424660205841064, 1.3664269447326660,3.00, 0.1515866229508197
3.333333, 12.500000, 0.255263, 0.692991, 1.4440193176269531, 0.6955710053443909, 4.1692523956298828, 1.7476817369461060,0.2824217081069946, 0.1120404601097107, 1.3872621059417725, 1.2966829538345337,3.00, 0.1515866229508197
3.333333, 13.333333, 0.240963, 0.666529, 1.3919284343719482, 0.7148464322090149, 4.0878610610961914, 1.7386484146118164,0.3018017113208771, 0.1299057304859161, 1.3393628597259521, 1.2387734651565552,3.00, 0.1515866229508197
3.333333, 14.166667, 0.228476, 0.640487, 1.3276444673538208, 0.7288674116134644, 3.9904737472534180, 1.7417305707931519,0.3221601843833923, 0.1588493138551712, 1.2890377044677734, 1.1803810596466064,3.00, 0.1515866229508197
3.333333, 15.000000, 0.217581, 0.615310, 1.2575690746307373, 0.7371991276741028, 3.8654530048370361, 1.7577235698699951,0.3428519964218140, 0.1879921704530716, 1.2341821193695068, 1.1130607128143311,4.00, 0.1515866229508197
3.333333, 15.833333, 0.208062, 0.591331, 1.1827443838119507, 0.7369804978370667, 3.7114956378936768, 1.7884273529052734,0.3631438910961151, 0.2117560952901840, 1.1815072298049927, 1.0405329465866089,4.00, 0.1515866229508197
3.333333, 16.666667, 0.199738, 0.568788, 1.1343872547149658, 0.7421991229057312, 3.5858063697814941, 1.8550071716308594,0.3838205039501190, 0.2359017729759216, 1.1577235460281372, 1.0133963823318481,4.00, 0.1515866229508197
4.166667, 0.833333, 0.822260, 0.541391, 1.4102240800857544, 0.7329949140548706, 2.7619163990020752, 2.2046353816986084,0.8668177127838135, 0.7823155522346497, 3.1083281040191650, 1.9242208003997803,3.00, 0.1515866229508197
4.166667, 1.666667, 0.773185, 0.660203, 1.4704061746597290, 0.7133150100708008, 2.9197454452514648, 2.2906181812286377,0.4099386334419250, 0.6107424497604370, 3.0821957588195801, 1.8852438926696777,3.00, 0.1515866229508197
4.166667, 2.500000, 0.732591, 0.753955, 1.5144332647323608, 0.6668292284011841, 3.0979573726654053, 2.2744588851928711,0.2972512841224670, 0.5285649299621582, 3.0086061954498291, 1.8876392841339111,4.00, 0.1515866229508197
4.166667, 3.333333, 0.677686, 0.803844, 1.5060379505157471, 0.6453926563262939, 3.2184419631958008, 2.1993923187255859,0.2123550027608871, 0.4010994434356689, 2.9123132228851318, 1.9038381576538086,4.00, 0.1515866229508197
4.166667, 4.166667, 0.619235, 0.828324, 1.4934409856796265, 0.6297442913055420, 3.3183233737945557, 2.1479458808898926,0.1604189872741699, 0.2742164134979248, 2.8087477684020996, 1.9245729446411133,3.00, 0.1515866229508197
4.166667, 5.000000, 0.564316, 0.841922, 1.4879742860794067, 0.6159116625785828, 3.3935589790344238, 2.1113183498382568,0.1423659622669220, 0.2046504020690918, 2.6416320800781250, 1.9359744787216187,7.00, 0.1515866229508197
