S_d, S_n, Mask Mean FA, AUC, Theta Mask Mean, Theta Mask Std, Phi Mask Mean, Phi Mask Std, npeaks, Mask Fraction
4.166667, 7.500000, 0.460031, 0.790708, 1.5301783084869385, 0.1419395357370377, 3.4957289695739746, 2.8652234077453613,1.00, 0.2608524590163934
4.166667, 8.333333, 0.427420, 0.784531, 1.5264067649841309, 0.1393505483865738, 3.5187144279479980, 2.8216254711151123,1.00, 0.2608524590163934
4.166667, 9.166667, 0.399859, 0.774956, 1.5251760482788086, 0.1415917724370956, 3.5151441097259521, 2.7679162025451660,1.00, 0.2608524590163934
4.166667, 10.000000, 0.376237, 0.760864, 1.5215224027633667, 0.1454077959060669, 3.5332169532775879, 2.7326304912567139,1.00, 0.2608524590163934
4.166667, 10.833333, 0.355783, 0.741959, 1.5145816802978516, 0.1501864790916443, 3.5810742378234863, 2.7129969596862793,1.00, 0.2608524590163934
4.166667, 11.666667, 0.338009, 0.718717, 1.5051308870315552, 0.1552817374467850, 3.6102039813995361, 2.7140142917633057,1.00, 0.2608524590163934
4.166667, 12.500000, 0.322589, 0.692198, 1.4963982105255127, 0.1614155918359756, 3.6232578754425049, 2.7197897434234619,1.00, 0.2608524590163934
4.166667, 13.333333, 0.309260, 0.663951, 1.4903068542480469, 0.1691152006387711, 3.6333758831024170, 2.7108244895935059,1.00, 0.2608524590163934
4.166667, 14.166667, 0.297791, 0.635686, 1.4824640750885010, 0.1760038882493973, 3.6537840366363525, 2.7147223949432373,1.00, 0.2608524590163934
4.166667, 15.000000, 0.287977, 0.608783, 1.4720549583435059, 0.1812537014484406, 3.6942830085754395, 2.7265164852142334,1.00, 0.2608524590163934
4.166667, 15.833333, 0.279610, 0.584318, 1.4644010066986084, 0.1874815225601196, 3.7240657806396484, 2.7315273284912109,1.00, 0.2608524590163934
4.166667, 16.666667, 0.272488, 0.562841, 1.4595725536346436, 0.1948281228542328, 3.7424788475036621, 2.7292928695678711,1.00, 0.2608524590163934
5.000000, 0.833333, 0.860424, 0.568519, 1.5169202089309692, 0.5751726627349854, 2.6996791362762451, 2.2955667972564697,3.00, 0.2608524590163934
5.000000, 1.666667, 0.816633, 0.675941, 1.5354129076004028, 0.4338602721691132, 2.8713393211364746, 2.6471395492553711,3.00, 0.2608524590163934
5.000000, 2.500000, 0.784321, 0.739348, 1.5474525690078735, 0.3484894633293152, 2.9607968330383301, 2.8057999610900879,1.00, 0.2608524590163934
5.000000, 3.333333, 0.741725, 0.774150, 1.5551933050155640, 0.2957993149757385, 2.9954209327697754, 2.8643388748168945,1.00, 0.2608524590163934
5.000000, 4.166667, 0.689587, 0.786397, 1.5546377897262573, 0.2419167906045914, 3.0808069705963135, 2.9090781211853027,1.00, 0.2608524590163934
5.000000, 5.000000, 0.635153, 0.787235, 1.5525113344192505, 0.1926590353250504, 3.1886065006256104, 2.9363696575164795,1.00, 0.2608524590163934
5.000000, 5.833333, 0.584430, 0.785316, 1.5480988025665283, 0.1587387323379517, 3.2726800441741943, 2.9433054924011230,1.00, 0.2608524590163934
5.000000, 6.666667, 0.540229, 0.783602, 1.5426847934722900, 0.1397783458232880, 3.3425791263580322, 2.9355447292327881,1.00, 0.2608524590163934
5.000000, 7.500000, 0.502858, 0.781198, 1.5381687879562378, 0.1287450045347214, 3.4038600921630859, 2.9143531322479248,1.00, 0.2608524590163934
5.000000, 8.333333, 0.471249, 0.776363, 1.5351984500885010, 0.1230072751641273, 3.4288678169250488, 2.8839707374572754,1.00, 0.2608524590163934
5.000000, 9.166667, 0.444130, 0.767725, 1.5333889722824097, 0.1212724968791008, 3.4398951530456543, 2.8499064445495605,1.00, 0.2608524590163934
5.000000, 10.000000, 0.420537, 0.754551, 1.5322272777557373, 0.1219458803534508, 3.4552204608917236, 2.8070752620697021,1.00, 0.2608524590163934
5.000000, 10.833333, 0.399811, 0.736733, 1.5302313566207886, 0.1246888116002083, 3.4707388877868652, 2.7724006175994873,1.00, 0.2608524590163934
5.000000, 11.666667, 0.381549, 0.714700, 1.5277730226516724, 0.1288442015647888, 3.4944870471954346, 2.7476351261138916,1.00, 0.2608524590163934
5.000000, 12.500000, 0.365493, 0.689409, 1.5234128236770630, 0.1333755850791931, 3.5384399890899658, 2.7369475364685059,1.00, 0.2608524590163934
5.000000, 13.333333, 0.351442, 0.662272, 1.5188441276550293, 0.1386016011238098, 3.5745232105255127, 2.7278265953063965,1.00, 0.2608524590163934
5.000000, 14.166667, 0.339214, 0.634875, 1.5152577161788940, 0.1446567773818970, 3.5844094753265381, 2.7224879264831543,1.00, 0.2608524590163934
5.000000, 15.000000, 0.328643, 0.608671, 1.5122721195220947, 0.1511263251304626, 3.5761272907257080, 2.7177875041961670,1.00, 0.2608524590163934
5.000000, 15.833333, 0.319551, 0.584631, 1.5078425407409668, 0.1570140868425369, 3.5980896949768066, 2.7189598083496094,1.00, 0.2608524590163934
5.000000, 16.666667, 0.311753, 0.563282, 1.5029509067535400, 0.1625547111034393, 3.6190383434295654, 2.7226719856262207,1.00, 0.2608524590163934
5.833333, 0.833333, 0.889290, 0.599704, 1.5289720296859741, 0.5615006685256958, 2.7055399417877197, 2.3380768299102783,3.00, 0.2608524590163934
5.833333, 1.666667, 0.845824, 0.694438, 1.5381779670715332, 0.4152415394783020, 2.8821082115173340, 2.6978082656860352,3.00, 0.2608524590163934
5.833333, 2.500000, 0.807215, 0.741630, 1.5473418235778809, 0.3472453057765961, 2.9623923301696777, 2.8183946609497070,1.00, 0.2608524590163934
5.833333, 3.333333, 0.761301, 0.764350, 1.5545068979263306, 0.2934406399726868, 2.9936418533325195, 2.8750121593475342,1.00, 0.2608524590163934
