S_d, S_n, Mean, Max, Mask Mean, Mask Max, Inv Mask Mean, Inv Mask Max, AUC
2.92, 7.50, 0.455, 0.923, 0.555, 0.923, 0.428, 0.875, 0.738
2.92, 7.92, 0.447, 0.917, 0.543, 0.917, 0.421, 0.871, 0.737
2.92, 8.33, 0.440, 0.911, 0.532, 0.911, 0.415, 0.866, 0.734
3.33, 0.42, 0.987, 1.000, 0.991, 1.000, 0.986, 1.000, 0.637
3.33, 0.83, 0.938, 1.000, 0.958, 1.000, 0.933, 1.000, 0.647
3.33, 1.25, 0.891, 0.999, 0.927, 0.999, 0.881, 0.999, 0.661
3.33, 1.67, 0.843, 0.998, 0.896, 0.998, 0.830, 0.998, 0.675
3.33, 2.08, 0.798, 0.997, 0.865, 0.997, 0.780, 0.996, 0.689
3.33, 2.50, 0.755, 0.995, 0.835, 0.995, 0.734, 0.994, 0.699
3.33, 2.92, 0.717, 0.993, 0.806, 0.993, 0.693, 0.991, 0.707
3.33, 3.33, 0.683, 0.989, 0.779, 0.989, 0.657, 0.987, 0.711
3.33, 3.75, 0.654, 0.985, 0.754, 0.985, 0.627, 0.983, 0.714
3.33, 4.17, 0.628, 0.980, 0.730, 0.980, 0.601, 0.978, 0.714
3.33, 4.58, 0.607, 0.974, 0.709, 0.974, 0.580, 0.971, 0.715
3.33, 5.00, 0.588, 0.967, 0.690, 0.967, 0.561, 0.964, 0.715
3.33, 5.42, 0.572, 0.959, 0.672, 0.959, 0.545, 0.956, 0.714
3.33, 5.83, 0.557, 0.953, 0.656, 0.953, 0.531, 0.947, 0.714
3.33, 6.25, 0.545, 0.947, 0.641, 0.947, 0.519, 0.937, 0.714
3.33, 6.67, 0.534, 0.941, 0.628, 0.941, 0.509, 0.927, 0.714
3.33, 7.08, 0.524, 0.935, 0.615, 0.935, 0.500, 0.915, 0.714
3.33, 7.50, 0.515, 0.929, 0.604, 0.929, 0.491, 0.903, 0.713
3.33, 7.92, 0.507, 0.924, 0.593, 0.924, 0.484, 0.895, 0.712
3.33, 8.33, 0.500, 0.918, 0.583, 0.918, 0.478, 0.890, 0.711
3.75, 0.42, 0.990, 1.000, 0.993, 1.000, 0.990, 1.000, 0.622
3.75, 0.83, 0.951, 1.000, 0.965, 1.000, 0.947, 1.000, 0.628
3.75, 1.25, 0.912, 1.000, 0.938, 1.000, 0.905, 1.000, 0.637
3.75, 1.67, 0.872, 0.999, 0.911, 0.999, 0.862, 0.999, 0.646
3.75, 2.08, 0.833, 0.998, 0.884, 0.998, 0.820, 0.998, 0.655
3.75, 2.50, 0.797, 0.997, 0.856, 0.997, 0.781, 0.996, 0.663
3.75, 2.92, 0.762, 0.995, 0.830, 0.995, 0.745, 0.994, 0.669
3.75, 3.33, 0.732, 0.993, 0.805, 0.993, 0.712, 0.992, 0.674
3.75, 3.75, 0.704, 0.990, 0.782, 0.990, 0.684, 0.989, 0.677
3.75, 4.17, 0.680, 0.987, 0.760, 0.987, 0.659, 0.985, 0.679
3.75, 4.58, 0.659, 0.983, 0.740, 0.983, 0.637, 0.981, 0.680
3.75, 5.00, 0.640, 0.977, 0.721, 0.977, 0.618, 0.975, 0.681
3.75, 5.42, 0.623, 0.971, 0.704, 0.971, 0.602, 0.969, 0.682
